"","time","lat","lon","ugrd10m","vgrd10m","dir","speed"
"550",2015-02-12,40.5,4,-2.71,1.65,301.335399619443,3.17279056982966
"551",2015-02-12,40.5,4.5,-2.6799998,1.35,296.735829675462,3.00081637692146
"552",2015-02-12,40.5,5,-2.6599998,1.1,292.466751442319,2.87847163196027
"201",2015-02-12,40,-10,-2.61,0.26,275.688857258606,2.62291822213351
"202",2015-02-12,40,-9.5,-2.57,0.98999995,291.067382721242,2.7540878528108
"203",2015-02-12,40,-9,-1.66,1.38,309.737604600405,2.15870331449229
"204",2015-02-12,40,-8.5,-0.96,0.41,293.126520388749,1.04388696706109
"205",2015-02-12,40,-8,-1.06,0.049999997,272.700629175597,1.06117858991783
"206",2015-02-12,40,-7.5,-0.78999996,-0.34,246.713934028346,0.860058100828079
"207",2015-02-12,40,-7,-0.84999996,-0.79999995,226.735705030474,1.16726168959664
"208",2015-02-12,40,-6.5,-1.56,-0.59999996,248.962490254381,1.67140657890293
"209",2015-02-12,40,-6,-2.36,-1.11,244.81056937059,2.60800690183136
"210",2015-02-12,40,-5.5,-2.31,-1.26,241.389540334035,2.63129245808975
"211",2015-02-12,40,-5,-1.86,-1.05,240.554571270074,2.13590730135931
"212",2015-02-12,40,-4.5,-1.6899999,-2.1399999,218.298842709012,2.72684785677529
"213",2015-02-12,40,-4,-1.8399999,-1.5899999,229.168705933614,2.43180988442765
"214",2015-02-12,40,-3.5,-3.52,3.35,313.582489786957,4.85931065069934
"215",2015-02-12,40,-3,-4.77,4.37,312.494125044586,6.46914213787269
"216",2015-02-12,40,-2.5,-3.6,2.87,308.562630973606,4.60400912249313
"217",2015-02-12,40,-2,-2.6699998,0.71,284.891341930091,2.7627882531964
"218",2015-02-12,40,-1.5,-0.95,0.32,288.615692007331,1.00244700608062
"219",2015-02-12,40,-1,-0.96,0.37,291.077494116987,1.02883429180797
"220",2015-02-12,40,-0.5,0,-0.87,180,0.87
"531",2015-02-12,40,0,0.03,-1.66,178.964646813455,1.66027106220641
"532",2015-02-12,40,0.5,-0.98999995,-4,193.901350094651,4.12069167749785
