spcode,x,y
tapses,-68.2734,44.3386
temamb,-68.2734,44.3386
temlon,-68.2734,44.3386
tetcae,-68.2734,44.3386
ambpal,-70.87916667,42.27437269
ambpal,-70.97083333,42.36603936
ambpal,-70.97083333,42.36603936
ambpal,-70.92083333,42.24937269
ambpal,-70.92083333,42.24937269
ambpal,-70.87916667,42.27437269
ambpal,-70.87083333,42.26603936
ambpal,-70.87083333,42.26603936
ambpal,-70.87083333,42.26603936
ambpal,-70.90416667,42.24937269
ambpal,-71.0125,42.29937269
ambpal,-71.0125,42.29937269
ambpal,-71.0125,42.29937269
ambpal,-71.0125,42.29937269
ambpal,-70.87083333,42.26603936
ambpal,-70.8734,42.2651
aneatr,-71.0125,42.29937269
aphful,-70.97083333,42.36603936
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.97083333,42.36603936
aphrud,-70.97083333,42.36603936
aphrud,-70.97083333,42.36603936
aphrud,-70.97083333,42.36603936
aphrud,-70.97083333,42.36603936
aphrud,-70.97083333,42.36603936
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.92083333,42.24937269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87916667,42.27437269
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.97083333,42.36603936
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-70.90416667,42.24937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.00416667,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
