x,y,species_4 cloglog values
896.0,896.0,0.33333427
897.0,897.0,9.706482E-6
898.0,898.0,4.354061E-6
899.0,899.0,0.08075905
900.0,900.0,0.00452171
901.0,901.0,0.007034086
902.0,902.0,0.16902317
903.0,903.0,6.307142E-5
904.0,904.0,6.5913744E-4
905.0,905.0,0.016641216
906.0,906.0,0.2798848
907.0,907.0,0.4911809
908.0,908.0,4.9529644E-5
909.0,909.0,0.012484005
910.0,910.0,0.036725234
911.0,911.0,2.159758E-6
912.0,912.0,2.5266274E-5
913.0,913.0,0.02257945
914.0,914.0,0.06013384
915.0,915.0,0.21960731
916.0,916.0,1.22714255E-5
917.0,917.0,0.35089976
918.0,918.0,3.5232241E-4
919.0,919.0,2.5380038E-7
920.0,920.0,5.8488617E-6
921.0,921.0,0.046306442
922.0,922.0,7.854294E-5
923.0,923.0,0.04163391
924.0,924.0,0.08518958
925.0,925.0,0.069488466
926.0,926.0,0.18518741
927.0,927.0,0.43648508
